ID_node;Longitude;Latitude;name
1573;98.506;3.647;Sumatera Utara
1574;98.255;4.12;Sumatera Utara
1575;104.809;-2.968;Sumatera Selatan
1577;96.111;4.173;Aceh
1580;98.68;3.754;Sumatera Utara
1581;97.086;5.199;Aceh
1582;96.727;5.131;Aceh
1584;97.183;5.114;Aceh
1585;98.654;3.476;Sumatera Utara
1588;98.087;4.384;Aceh
1589;103.51;-3.768;Sumatera Selatan
1590;103.226;-3.981;Sumatera Selatan
1591;104.695;-2.976;Sumatera Selatan
1592;104.689;-2.98;Sumatera Selatan
1593;103.511;-3.767;Sumatera Selatan
