ID_line;voltage;Longitude;Latitude;node_start;node_end
759;150;112.708;-7.412;1149;1150
761;150;112.771;-7.127;1151;1152
762;150;112.645;-7.19;1128;1153
767;150;112.619;-7.347;1155;1156
770;150;112.247;-8.143;1157;1158
771;150;112.605;-7.344;1159;1160
772;150;112.605;-7.344;1064;1159
773;150;112.033;-7.837;1163;1164
774;150;112.343;-7.59;1163;1166
775;150;112.462;-7.468;1167;1168
780;150;112.596;-7.324;1169;1170
781;150;112.605;-7.344;1063;1159
789;150;112.568;-7.348;1159;1174
791;150;112.444;-8.159;1175;1176
792;150;112.591;-8.02;1175;1177
793;150;112.576;-7.905;1179;1180
794;150;112.617;-8.021;1179;1182
795;150;112.617;-8.021;1179;1184
796;150;112.675;-7.841;1185;1186
802;150;112.677;-7.842;1187;1188
807;150;112.621;-7.342;1131;1189
811;150;112.577;-7.181;1191;1192
812;150;112.558;-7.413;1193;1194
813;150;112.46;-7.469;1194;1196
814;150;112.605;-7.344;1159;1197
816;150;111.577;-7.149;457;1199
818;150;111.867;-7.176;1199;1202
819;150;111.994;-6.813;1203;1204
820;150;112.035;-6.888;1202;1206
821;150;111.457;-7.407;647;1207
822;150;111.494;-7.87;1209;1210
827;150;111.548;-7.641;1209;1211
828;150;112.033;-7.837;1164;1213
834;150;112.148;-7.124;1202;1216
835;150;112.413;-7.142;1216;1218
836;150;112.033;-7.837;1164;1220
837;150;112.145;-7.129;442;1221
838;150;111.893;-6.818;442;1224
839;150;111.125;-8.182;1225;1226
840;150;111.113;-8.182;1227;1228
842;150;131.247;-1.021;1229;1230
846;150;111.112;-8.182;1210;1232
847;150;112.209;-7.539;1233;1234
848;150;112.09;-7.611;1213;1234
849;150;112.016;-7.764;1237;1238
851;150;111.041;-8.078;331;1240
852;150;111.917;-6.866;1206;1241
854;150;112.724;-7.606;1188;1244
855;150;112.776;-7.604;1188;1245
856;150;102.485;-3.59;1247;1248
857;150;112.76;-7.768;1245;1250
858;150;112.777;-7.604;1251;1252
859;150;112.814;-7.628;1245;1252
860;150;112.896;-7.688;1252;1255
862;150;112.896;-7.688;1252;1258
863;150;113.426;-7.779;1259;1260
864;150;113.582;-7.719;1260;1261
865;150;114.661;-8.364;1263;1264
866;150;113.212;-8.129;1265;1266
867;150;113.229;-7.85;1267;1268
869;150;113.213;-7.766;1269;1270
870;150;113.212;-8.128;1271;1272
871;150;113.313;-7.798;1270;1274
872;150;113.833;-7.937;1261;1276
873;150;114.019;-7.717;1261;1277
874;150;113.699;-8.193;1279;1280
875;150;113.699;-8.193;1279;1282
876;150;114.356;-8.188;1283;1284
878;150;112.68;-7.969;1285;1286
879;150;104.732;-2.951;1287;1288
880;150;112.904;-7.687;1266;1290
881;150;114.164;-8.387;1291;1292
884;150;114.442;-8.175;1293;1294
885;150;114.442;-8.175;1264;1294
886;150;115.015;-8.516;1263;1298
887;150;115.161;-8.258;1298;1299
888;150;115.182;-8.583;1298;1302
889;150;115.182;-8.583;1298;1303
890;150;115.183;-8.583;1305;1306
891;150;115.06;-8.136;1293;1299
892;150;115.335;-8.562;1309;1310
893;150;115.211;-8.718;1311;1312
894;150;115.211;-8.718;1311;1312
895;150;115.183;-8.743;1312;1316
896;150;115.253;-8.674;1309;1318
897;150;127.307;0.766;1319;1320
898;150;115.252;-8.674;1302;1321
899;150;115.186;-8.667;1312;1324
900;150;115.182;-8.745;1306;1325
901;150;115.205;-8.443;1327;1328
902;150;114.434;-8.166;1294;1329
903;150;115.182;-8.748;1331;1332
904;150;115.183;-8.751;1331;1333
905;150;119.473;-5.147;1335;1336
907;150;114.853;-8.199;1298;1337
908;150;125.094;1.657;1339;1340
909;150;123.468;0.875;1341;1342
910;150;123.023;0.544;1343;1344
911;150;98.663;2.236;1345;1346
912;150;119.462;-5.231;1347;1348
913;150;119.595;-4.931;1347;1350
914;150;119.395;-5.19;1348;1352
915;150;119.462;-5.231;1348;1353
916;150;119.446;-5.164;1335;1356
917;150;119.462;-5.231;1335;1348
918;150;119.633;-4.293;1359;1360
919;150;119.637;-4.022;1360;1361
920;150;119.624;-3.969;1363;1364
