ID_node;Longitude;Latitude;ID_line
2535;115.222;-8.797;1268
2536;115.182;-8.748;1268
2537;115.183;-8.751;1269
2542;119.528;-5.061;1271
2543;114.853;-8.199;1272
2545;125.094;1.657;1273
2546;125.102;1.665;1273
2547;123.47;0.888;1274
2548;123.468;0.875;1274
2549;123.023;0.544;1275
2550;123.025;0.551;1275
2551;98.768;2.271;1276
2552;98.663;2.236;1276
2553;119.595;-4.931;1277
2554;119.462;-5.231;1277
2556;119.625;-4.946;1278
2558;119.395;-5.19;1279
2559;119.474;-5.462;1280
2562;119.446;-5.164;1281
2565;119.633;-4.293;1283
2566;119.637;-4.022;1283
2567;119.753;-3.917;1284
2569;119.624;-3.969;1285
2570;119.636;-4.022;1285
2571;119.589;-4.801;1286
2574;119.649;-3.475;1287
2576;119.652;-3.48;1288
2577;104.006;1.013;1289
2578;104.035;1.03;1289
2579;118.96;-3.495;1290
2580;119.32;-3.402;1290
2582;119.534;-3.521;1291
2585;119.924;-4.351;1293
2587;119.784;-5.666;1294
2590;120.139;-5.57;1295
2592;119.895;-3.072;1296
2593;120.073;-4.176;1297
2597;120.273;-4.517;1299
2599;120.179;-3.024;1300
2601;103.931;1.055;1301
2603;122.506;-3.957;1302
2604;122.538;-3.896;1302
2605;122.013;0.478;1303
2606;122.886;0.657;1303
2607;124.865;1.486;1304
2608;124.96;1.387;1304
2610;123.127;0.52;1305
2612;125.189;1.445;1306
2613;124.923;1.349;1307
2616;124.604;1.219;1308
2618;123.256;0.904;1309
2620;123.996;0.858;1310
2622;124.293;0.781;1311
2624;124.924;1.327;1312
2627;124.938;1.365;1314
2633;124.48;1.181;1317
2638;124.822;1.254;1319
2639;124.852;1.314;1320
2642;124.855;1.457;1321
2643;124.715;1.416;1322
2649;104.809;-2.968;1325
2650;104.871;-2.925;1325
2652;103.903;1.09;1326
2654;125.112;1.409;1327
2655;120.103;-0.763;1328
2656;119.856;-0.732;1328
2657;119.888;-0.877;1329
2659;120.651;-1.64;1330
2660;120.704;-1.411;1330
2661;107.566;-2.892;1331
2662;107.662;-2.772;1331
2663;104.084;1.099;1332
2664;104.096;1.161;1332
2665;104.04;1.032;1333
2666;104.132;1.065;1333
2667;104.037;1.031;1334
2668;104.042;1.051;1334
2669;105.174;-5.185;1335
2670;104.932;-5.368;1335
2672;119.937;-0.999;1336
2673;106.149;-2.078;1337
2674;106.091;-2.102;1337
2675;106.101;-1.902;1338
2676;106.124;-2.078;1338
2677;105.657;-1.873;1339
2678;106.09;-2.102;1339
2679;98.69;3.54;1340
2680;98.505;3.159;1340
2682;106.401;-2.5;1341
2683;104.022;1.114;1342
2684;104.085;1.098;1342
2686;104.022;1.179;1343
2687;104.132;1.046;1344
2693;104.181;-2.843;1347
2694;104.738;-2.882;1347
2695;104.745;-3.033;1348
2696;104.647;-2.928;1348
2697;101.317;-0.877;1349
2698;101.541;-0.524;1349
2700;104.781;-2.976;1350
2702;104.769;-3.005;1351
2703;99.654;2.963;1352
2704;99.808;2.112;1352
2705;104.864;-4.852;1353
2706;104.576;-4.833;1353
2707;100.754;-0.613;1354
2708;100.77;-0.621;1354
2709;105.35;-5.518;1355
2710;105.377;-5.391;1355
2711;100.881;0.296;1356
2712;100.643;-0.253;1356
2713;99.035;1.481;1357
2714;99.3;1.339;1357
2716;104.733;-3.005;1358
2717;99.46;3.343;1359
2718;99.653;2.963;1359
2719;100.277;-0.683;1360
2720;100.433;-0.934;1360
2721;100.378;-0.344;1361
2722;100.642;-0.253;1361
2723;100.115;-0.31;1362
2724;100.276;-0.682;1362
2725;100.116;-0.311;1363
2726;99.828;0.077;1363
2727;104.896;-2.95;1364
2728;104.871;-2.924;1364
2729;104.771;-3.004;1365
2730;104.833;-3.017;1365
2731;104.733;-3.004;1366
2732;104.731;-2.952;1366
2733;100.753;-0.612;1367
2734;101.316;-0.878;1367
2735;102.103;-1.432;1368
2736;103.543;-1.603;1368
2737;101.524;0.41;1369
2738;101.815;0.395;1369
2739;98.668;3.616;1370
2740;98.594;3.59;1370
2741;96.197;4.109;1371
2742;95.963;5.352;1371
2743;105.351;-5.518;1372
2744;105.626;-5.723;1372
2745;105.714;-5.313;1373
2748;100.573;-0.404;1374
2749;100.399;-0.451;1375
2750;100.572;-0.404;1375
2751;98.273;3.992;1376
2752;97.943;4.511;1376
2753;98.722;3.553;1377
2754;98.783;3.567;1377
